,Economy ISO3,Indicator,2009-01-01,2009-01-01 00:00:00,2009-02-01,2009-03-01,2009-04-01,2009-04-01 00:00:00,2009-05-01,2009-06-01,2009-07-01,2009-07-01 00:00:00,2009-08-01,2009-09-01,2009-10-01,2009-10-01 00:00:00,2009-11-01,2009-12-01,2010-01-01,2010-01-01 00:00:00,2010-02-01,2010-03-01,2010-04-01,2010-04-01 00:00:00,2010-05-01,2010-06-01,2010-07-01,2010-07-01 00:00:00,2010-08-01,2010-09-01,2010-10-01,2010-10-01 00:00:00,2010-11-01,2010-12-01,2011-01-01,2011-01-01 00:00:00,2011-02-01,2011-03-01,2011-04-01,2011-04-01 00:00:00,2011-05-01,2011-06-01,2011-07-01,2011-07-01 00:00:00,2011-08-01,2011-09-01,2011-10-01,2011-10-01 00:00:00,2011-11-01,2011-12-01,2012-01-01,2012-01-01 00:00:00,2012-02-01,2012-03-01,2012-04-01,2012-04-01 00:00:00,2012-05-01,2012-06-01,2012-07-01,2012-07-01 00:00:00,2012-08-01,2012-09-01,2012-10-01,2012-10-01 00:00:00,2012-11-01,2012-12-01,2013-01-01,2013-01-01 00:00:00,2013-02-01,2013-03-01,2013-04-01,2013-04-01 00:00:00,2013-05-01,2013-06-01,2013-07-01,2013-07-01 00:00:00,2013-08-01,2013-09-01,2013-10-01,2013-10-01 00:00:00,2013-11-01,2013-12-01,2014-01-01,2014-01-01 00:00:00,2014-02-01,2014-03-01,2014-04-01,2014-04-01 00:00:00,2014-05-01,2014-06-01,2014-07-01,2014-07-01 00:00:00,2014-08-01,2014-09-01,2014-10-01,2014-10-01 00:00:00,2014-11-01,2014-12-01,2015-01-01,2015-01-01 00:00:00,2015-02-01,2015-03-01,2015-04-01,2015-04-01 00:00:00,2015-05-01,2015-06-01,2015-07-01,2015-07-01 00:00:00,2015-08-01,2015-09-01,2015-10-01,2015-10-01 00:00:00,2015-11-01,2015-12-01,2016-01-01,2016-01-01 00:00:00,2016-02-01,2016-03-01,2016-04-01,2016-04-01 00:00:00,2016-05-01,2016-06-01,2016-07-01,2016-07-01 00:00:00,2016-08-01,2016-09-01,2016-10-01,2016-10-01 00:00:00,2016-11-01,2016-12-01,2017-01-01,2017-01-01 00:00:00,2017-02-01,2017-03-01,2017-04-01,2017-04-01 00:00:00,2017-05-01,2017-06-01,2017-07-01,2017-07-01 00:00:00,2017-08-01,2017-09-01,2017-10-01,2017-10-01 00:00:00,2017-11-01,2017-12-01,2018-01-01,2018-01-01 00:00:00,2018-02-01,2018-03-01,2018-04-01,2018-04-01 00:00:00,2018-05-01,2018-06-01,2018-07-01,2018-07-01 00:00:00,2018-08-01,2018-09-01,2018-10-01,2018-10-01 00:00:00,2018-11-01,2018-12-01,2019-01-01,2019-01-01 00:00:00,2019-02-01,2019-03-01,2019-04-01,2019-04-01 00:00:00,2019-05-01,2019-06-01,2019-07-01,2019-07-01 00:00:00,2019-08-01,2019-09-01,2019-10-01,2019-10-01 00:00:00,2019-11-01,2019-12-01,2020-01-01,2020-01-01 00:00:00,2020-02-01,2020-03-01,2020-04-01,2020-04-01 00:00:00,2020-05-01,2020-06-01,2020-07-01,2020-07-01 00:00:00,2020-08-01,2020-09-01,2020-10-01,2020-10-01 00:00:00,2020-11-01,2020-12-01,2021-01-01,2021-01-01 00:00:00,2021-02-01,2021-03-01,2021-04-01,2021-04-01 00:00:00,2021-05-01,2021-06-01,2021-07-01,2021-07-01 00:00:00,2021-08-01,2021-09-01,2021-10-01,2021-10-01 00:00:00,2021-11-01,2021-12-01,2022-01-01,2022-01-01 00:00:00,2022-02-01,2022-03-01,2022-04-01,2022-04-01 00:00:00,2022-05-01,2022-06-01,2022-07-01,2022-07-01 00:00:00,2022-08-01,2022-09-01,2022-10-01,2022-10-01 00:00:00,2022-11-01,2022-12-01,2023-01-01,2023-01-01 00:00:00,2023-02-01,2023-03-01,2023-12-01
0,ABW,"Estimated core consumer price inflation, annual",-1.73,,,,,,,,,,,,,,,,1.27,,,,,,,,,,,,,,,,3.03,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,-1.55,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,-0.62,,,,,,,,,,,,,,,,-1.26,,,,,,,,,,,,,,,,2.36,,,,,,,,,,,,,,,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ABW,"GDP deflator growth rate, annual",2.66,,,,,,,,,,,,,,,,-1.03,,,,,,,,,,,,,,,,3.04,,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,-2.28,,,,,,,,,,,,,,,,1.77,,,,,,,,,,,,,,,,2.04,,,,,,,,,,,,,,,,-1.77,,,,,,,,,,,,,,,,-1.49,,,,,,,,,,,,,,,,3.96,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,,,,,,-1.34,,,,,,,,,,,,,,,,2.22,,,,,,,,,,,,,,,,2.22,,,,,,,,,,,,,,,,,,,,
4,ABW,"Energy price inflation, annual",-8.2,,,,,,,,,,,,,,,,9.43,,,,,,,,,,,,,,,,7.16,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,-7.46,,,,,,,,,,,,,,,,1.57,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,-2.47,,,,,,,,,,,,,,,,-3.2,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,-1.28,,,,,,,,,,,,,,,,1.26,,,,,,,,,,,,,,,,5.38,,,,,,,,,,,,,,,,,,,,
6,ABW,"Food price inflation, annual",4.62,,,,,,,,,,,,,,,,-2.29,,,,,,,,,,,,,,,,4.29,,,,,,,,,,,,,,,,2.66,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,2.15,,,,,,,,,,,,,,,,2.17,,,,,,,,,,,,,,,,-0.17,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,7.45,,,,,,,,,,,,,,,,12.82,,,,,,,,,,,,,,,,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ABW,"Headline consumer price inflation, annual",-2.14,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,,,,,,4.32,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,-2.37,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,-0.89,,,,,,,,,,,,,,,,-0.47,,,,,,,,,,,,,,,,3.58,,,,,,,,,,,,,,,,4.26,,,,,,,,,,,,,,,,1.22,,,,,,,,,,,,,,,,0.74,,,,,,,,,,,,,,,,5.52,,,,,,,,,,,,,,,,,,,,
11,AFG,"Official core consumer price inflation, annual",4.72,,,,,,,,,,,,,,,,4.99,,,,,,,,,,,,,,,,14.77,,,,,,,,,,,,,,,,7.85,,,,,,,,,,,,,,,,6.81,,,,,,,,,,,,,,,,2.74,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,5.19,,,,,,,,,,,,,,,,5.42,,,,,,,,,,,,,,,,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AFG,"Estimated core consumer price inflation, annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.14,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,-0.46,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AFG,"GDP deflator growth rate, annual",-2.69,,,,,,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,10.34,,,,,,,,,,,,,,,,8.45,,,,,,,,,,,,,,,,2.24,,,,,,,,,,,,,,,,3.15,,,,,,,,,,,,,,,,2.67,,,,,,,,,,,,,,,,-2.41,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,2.07,,,,,,,,,,,,,,,,6.52,,,,,,,,,,,,,,,,5.31,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AFG,"Energy price inflation, annual",2.48,,,,,,,,,,,,,,,,8.65,,,,,,,,,,,,,,,,12.36,,,,,,,,,,,,,,,,11.81,,,,,,,,,,,,,,,,8.8,,,,,,,,,,,,,,,,-7.79,,,,,,,,,,,,,,,,-4.25,,,,,,,,,,,,,,,,2.07,,,,,,,,,,,,,,,,4.44,,,,,,,,,,,,,,,,1.47,,,,,,,,,,,,,,,,-2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AFG,"Food price inflation, annual",-13.35,,,,,,,,,,,,,,,,-0.28,,,,,,,,,,,,,,,,10.67,,,,,,,,,,,,,,,,4.73,,,,,,,,,,,,,,,,7.57,,,,,,,,,,,,,,,,7.74,,,,,,,,,,,,,,,,-0.84,,,,,,,,,,,,,,,,5.67,,,,,,,,,,,,,,,,6.94,,,,,,,,,,,,,,,,-1.05,,,,,,,,,,,,,,,,3.79,,,,,,,,,,,,,,,,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
